# time Epot
0.0 -13.0138
0.5 -14.6474
1.0 -9.5882
1.5 -22.9571
2.0 -16.4819
2.5 -19.2179
3.0 -22.8359
3.5 -27.9246
4.0 -25.6065
4.5 -31.0659
5.0 -37.0528
5.5 -37.4093
6.0 -41.0159
6.5 -38.1015
7.0 -44.4804
7.5 -44.7894
8.0 -47.7025
8.5 -46.5284
9.0 -46.7232
9.5 -48.8363
10.0 -48.3458
10.5 -47.73
11.0 -49.4565
11.5 -50.7508
12.0 -52.2293
12.5 -53.3528
13.0 -53.3718
13.5 -54.7748
14.0 -55.6624
14.5 -56.8511
15.0 -57.3026
15.5 -57.6913
16.0 -57.9578
16.5 -58.6911
17.0 -59.0914
17.5 -59.9325
18.0 -59.8388
18.5 -60.5463
19.0 -61.4773
19.5 -61.9638
20.0 -62.4351
20.5 -62.4749
21.0 -62.5501
21.5 -63.165
22.0 -63.312
22.5 -63.2908
23.0 -63.6761
23.5 -63.7536
24.0 -64.095
24.5 -64.3799
25.0 -64.5725
25.5 -64.7782
26.0 -64.8475
26.5 -64.9478
27.0 -64.9761
27.5 -65.2007
28.0 -65.3197
28.5 -65.4251
29.0 -65.636
29.5 -65.7654
30.0 -65.8927
30.5 -65.9561
31.0 -66.0648
31.5 -66.1654
32.0 -66.2074
32.5 -66.3179
