# time Epot
0.0 -10.6682
0.5 -7.1926
1.0 -20.5707
1.5 -15.4112
2.0 -10.6327
2.5 -13.3772
3.0 -5.5913
3.5 0.9466
4.0 -0.7033
4.5 -18.884
5.0 -15.9064
5.5 -20.7092
6.0 -25.3702
6.5 -25.8794
7.0 -32.051
7.5 -21.3797
8.0 -35.7045
8.5 -31.5466
9.0 -36.5826
9.5 -37.2837
10.0 -37.891
10.5 -41.04
11.0 -41.8803
11.5 -40.371
12.0 -41.1183
12.5 -38.7489
13.0 -41.1872
13.5 -43.4449
14.0 -41.5343
14.5 -43.244
15.0 -44.0292
15.5 -47.5314
16.0 -45.0534
16.5 -44.4147
17.0 -45.914
17.5 -48.7707
18.0 -50.8297
18.5 -51.4505
19.0 -48.7028
19.5 -50.7417
20.0 -51.0172
20.5 -52.019
21.0 -53.0053
21.5 -53.4115
22.0 -54.6159
22.5 -56.0144
23.0 -55.2108
23.5 -58.0809
24.0 -57.1857
24.5 -57.8332
25.0 -56.7944
25.5 -56.5085
26.0 -58.3984
26.5 -58.8762
27.0 -59.7075
27.5 -59.4462
28.0 -59.3678
28.5 -60.0863
29.0 -59.8471
29.5 -60.3527
30.0 -60.2101
30.5 -60.8772
31.0 -60.5807
31.5 -60.8766
32.0 -61.569
32.5 -61.6677
33.0 -62.016
33.5 -62.1652
34.0 -62.059
34.5 -62.7883
35.0 -63.0395
35.5 -63.0236
36.0 -63.9055
36.5 -63.5008
37.0 -63.7832
37.5 -63.9299
38.0 -64.5618
38.5 -64.6746
39.0 -64.7758
39.5 -65.0426
40.0 -65.1529
40.5 -64.8856
41.0 -65.3221
41.5 -65.0053
42.0 -64.926
42.5 -65.368
43.0 -65.2797
43.5 -65.5903
44.0 -65.6293
44.5 -65.561
45.0 -65.5559
45.5 -65.5026
46.0 -65.698
46.5 -65.8649
47.0 -65.7685
47.5 -66.1452
48.0 -66.2567
48.5 -66.3139
49.0 -66.556
49.5 -66.7157
50.0 -66.8315
50.5 -66.7724
51.0 -66.9092
51.5 -67.1359
52.0 -67.1843
52.5 -67.1992
53.0 -67.3843
53.5 -67.5113
54.0 -67.5341
54.5 -67.681
55.0 -67.7219
55.5 -67.827
56.0 -67.879
56.5 -67.937
57.0 -67.9543
57.5 -67.9918
58.0 -68.0167
58.5 -68.0409
59.0 -68.0956
59.5 -68.1519
60.0 -68.1621
60.5 -68.2111
61.0 -68.2684
61.5 -68.3351
62.0 -68.3347
62.5 -68.3531
63.0 -68.4128
63.5 -68.4391
64.0 -68.4892
64.5 -68.5232
65.0 -68.5744
65.5 -68.5917
66.0 -68.6339
66.5 -68.6472
67.0 -68.6863
